[2025-03-28 19:12:05] Source: 172.20.10.2:63936 -> Dest: 142.250.185.10:443 | UDP
[2025-03-28 19:12:05] Source: 172.20.10.2:50452 -> Dest: 150.171.28.11:443 | TCP
[2025-03-28 19:12:05] Source: 172.20.10.2:50453 -> Dest: 150.171.28.11:443 | TCP
[2025-03-28 19:12:05] Source: 142.250.185.10:443 -> Dest: 172.20.10.2:63936 | UDP
[2025-03-28 19:12:06] Source: 150.171.28.11:443 -> Dest: 172.20.10.2:50452 | TCP
[2025-03-28 19:12:09] Source: 150.171.28.11:443 -> Dest: 172.20.10.2:50452 | TCP
[2025-03-28 19:12:09] Source: 150.171.28.11:443 -> Dest: 172.20.10.2:50453 | TCP
[2025-03-28 19:12:09] Source: 150.171.28.11:443 -> Dest: 172.20.10.2:50453 | TCP
[2025-03-28 19:12:09] Source: 150.171.28.11:443 -> Dest: 172.20.10.2:50453 | TCP
[2025-03-28 19:12:09] Source: 172.20.10.2:50453 -> Dest: 150.171.28.11:443 | TCP
[2025-03-28 19:12:09] Source: 172.20.10.2:50453 -> Dest: 150.171.28.11:443 | TCP
[2025-03-28 19:12:10] Source: 150.171.28.11:443 -> Dest: 172.20.10.2:50453 | TCP
[2025-03-28 19:12:10] Source: 172.20.10.2:63936 -> Dest: 142.250.185.10:443 | UDP
[2025-03-28 19:12:10] Source: 172.20.10.2:63936 -> Dest: 142.250.185.10:443 | UDP
[2025-03-28 19:12:10] Source: 142.250.185.10:443 -> Dest: 172.20.10.2:63936 | UDP
[2025-03-28 19:12:10] Source: 142.250.185.10:443 -> Dest: 172.20.10.2:63936 | UDP
[2025-03-28 19:12:10] Source: 52.123.243.151:443 -> Dest: 172.20.10.2:50423 | TCP
[2025-03-28 19:12:10] Source: 172.20.10.2:50454 -> Dest: 20.189.173.3:443 | TCP
[2025-03-28 19:12:11] Source: 20.189.173.3:443 -> Dest: 172.20.10.2:50454 | TCP
[2025-03-28 19:12:11] Source: 172.20.10.2:50454 -> Dest: 20.189.173.3:443 | TCP
[2025-03-28 19:12:11] Source: 172.20.10.2:50454 -> Dest: 20.189.173.3:443 | TCP
[2025-03-28 19:12:11] Source: 172.20.10.2:63936 -> Dest: 142.250.185.10:443 | UDP
[2025-03-28 19:12:12] Source: 172.20.10.2:63936 -> Dest: 142.250.185.10:443 | UDP
[2025-03-28 19:12:12] Source: 142.250.185.10:443 -> Dest: 172.20.10.2:63936 | UDP
[2025-03-28 19:12:12] Source: 20.189.173.3:443 -> Dest: 172.20.10.2:50454 | TCP
[2025-03-28 19:12:12] Source: 172.20.10.2:50454 -> Dest: 20.189.173.3:443 | TCP
[2025-03-28 19:12:12] Source: 142.250.185.10:443 -> Dest: 172.20.10.2:63936 | UDP
[2025-03-28 19:12:12] Source: 172.20.10.2:55573 -> Dest: 172.217.20.163:443 | UDP
[2025-03-28 19:12:12] Source: 172.20.10.2:55573 -> Dest: 172.217.20.163:443 | UDP
[2025-03-28 19:12:12] Source: 20.189.173.3:443 -> Dest: 172.20.10.2:50454 | TCP
[2025-03-28 19:12:12] Source: 20.189.173.3:443 -> Dest: 172.20.10.2:50454 | TCP
[2025-03-28 19:12:12] Source: 20.189.173.3:443 -> Dest: 172.20.10.2:50454 | TCP
[2025-03-28 19:12:12] Source: 172.20.10.2:50454 -> Dest: 20.189.173.3:443 | TCP
[2025-03-28 19:12:12] Source: 20.189.173.3:443 -> Dest: 172.20.10.2:50454 | TCP
[2025-03-28 19:12:12] Source: 172.20.10.2:50454 -> Dest: 20.189.173.3:443 | TCP
[2025-03-28 19:12:12] Source: 172.20.10.2:50454 -> Dest: 20.189.173.3:443 | TCP
[2025-03-28 19:12:12] Source: 172.20.10.2:50454 -> Dest: 20.189.173.3:443 | TCP
[2025-03-28 19:12:13] Source: 172.20.10.2:50455 -> Dest: 172.217.20.163:443 | TCP
[2025-03-28 19:12:13] Source: 172.217.20.163:443 -> Dest: 172.20.10.2:55573 | UDP
[2025-03-28 19:12:13] Source: 172.217.20.163:443 -> Dest: 172.20.10.2:55573 | UDP
[2025-03-28 19:12:13] Source: 172.217.20.163:443 -> Dest: 172.20.10.2:55573 | UDP
[2025-03-28 19:12:13] Source: 172.217.20.163:443 -> Dest: 172.20.10.2:55573 | UDP
[2025-03-28 19:12:13] Source: 172.217.20.163:443 -> Dest: 172.20.10.2:55573 | UDP
[2025-03-28 19:12:13] Source: 172.217.20.163:443 -> Dest: 172.20.10.2:55573 | UDP
[2025-03-28 19:12:13] Source: 172.217.20.163:443 -> Dest: 172.20.10.2:55573 | UDP
[2025-03-28 19:12:13] Source: 172.20.10.2:55573 -> Dest: 172.217.20.163:443 | UDP
[2025-03-28 19:12:13] Source: 172.20.10.2:55573 -> Dest: 172.217.20.163:443 | UDP
[2025-03-28 19:12:13] Source: 172.20.10.2:55573 -> Dest: 172.217.20.163:443 | UDP
[2025-03-28 19:12:13] Source: 20.189.173.3:443 -> Dest: 172.20.10.2:50454 | TCP
[2025-03-28 19:12:13] Source: 20.189.173.3:443 -> Dest: 172.20.10.2:50454 | TCP
